order_id,date,customer_id,product_id,quantity,total_amount
24314741-63fd-4394-a15e-3b1a455f2820,2023-11-23 15:18:29.326462,6a48dfe2-c389-4221-87d9-cf8a83c7f3ca,ec61ec5b-7e11-47e4-8e05-9228f5284d91,4,1693.12
f8ef6a9a-d27c-45f0-948b-a8e84d29877e,2023-11-23 15:18:29.326462,320bd1cc-2ffe-42df-971d-57e96f4c1bb2,e67c3556-d861-4b03-bc03-7e48eaa3e10b,1,491.89
1232eb47-f4ba-425e-9581-6387f002db9a,2023-11-23 15:18:29.326462,8846c9e6-86d8-49f0-9d2a-68bb2de3a260,74191c7f-3bbb-4be3-afdd-bc7eff50636a,2,930.7
271d8456-8c5c-43dc-b538-dbffdd33d230,2023-11-23 15:18:29.326462,6290fcf9-f450-4997-beff-825cbda4b3b9,10d714cd-1f4e-4ab6-b0cf-faf24ca60003,3,377.1
60912c6a-b9b7-4feb-b055-41ff7a20e472,2023-11-23 15:18:29.326462,81611e81-a51a-4b59-b6a0-f20a418f2ac3,c675b60d-d0ad-4788-9fc9-67ae53e928df,2,582.32
5547c508-4fcc-4da2-9d52-f4ec437b1526,2023-11-23 15:18:29.326462,7f0f73b1-d192-442e-ac77-152e53409186,b8780db9-28d0-46d2-9139-99cca00a94e1,2,985.28
52a0a4bd-7aba-4f5d-a40a-a44f7bb72b97,2023-11-23 15:18:29.326462,512173f1-102c-4020-94bf-c86fe304f4f3,f927e922-80b7-4688-96ea-5a25d6f0994a,3,446.67
8198480a-6095-43e2-bbba-104b4a7deff6,2023-11-23 15:18:29.326462,45e05354-a198-48e2-bf15-98f527db94ef,d75e9074-dad7-46cd-b1d5-0202e16406c5,5,1263.7
3e9776ad-75e5-404a-bd33-58fbfc0097c0,2023-11-23 15:18:29.326462,38bd79be-e036-4204-8d28-5036b3c0a628,5824fc51-1a94-4146-b643-51310e9fdd34,2,158.46
c6d18753-2695-470c-8831-951d98aa39fa,2023-11-23 15:18:29.326462,8c51c75f-5c55-4c16-aae6-67ff19851289,18f99273-f9f4-4c8f-9e39-f226d1dec265,1,88.83
75e16a88-3e6d-488a-bd05-0fb05bf9f3a1,2023-11-23 15:18:29.326462,232f4c74-3346-4221-baf6-40493c64f21a,78f2bb64-8e20-4903-ab2c-6e05d8fd4971,1,398.59
df8ddf4c-cfbe-4e1f-8090-340602018221,2023-11-23 15:18:29.326462,522bdc69-0d88-4bd8-8ddc-11a91fea009b,4928d328-a0a1-4d89-802c-88df0505d846,2,697.86
ecd9f4bf-f549-4949-8148-4d6f241d1c8b,2023-11-23 15:18:29.326462,2c23b936-536b-4f64-b254-5be61d98fbeb,161a931b-4a67-4838-9737-2da68e9e5c23,3,1040.16
c07f65bc-b9b0-4781-be46-e33860a2cd76,2023-11-23 15:18:29.326462,2ecf98bf-b826-46d4-874c-549765442a29,4ed15943-e920-4a80-9517-29d53b50a19f,4,720.96
2b555431-0d1b-4cbb-a984-a77f8b0b9d1f,2023-11-23 15:18:29.326462,4731d9ed-3b97-497d-9a48-2f3ee6103e07,603d3e18-97ca-44af-91e0-61e336955bd3,5,1464.15
3153a799-4153-4152-a3ec-88e4402c1948,2023-11-23 15:18:29.326462,d43441dc-6c31-46ea-be06-4bf7beb58e1a,7dfd6d83-2f20-4c60-aa63-06eb97ceeeca,1,15.87
ce766480-64fc-4605-a5e1-9ddd5162e564,2023-11-24 15:18:29.326462,43e4310d-77da-4a27-93e0-1a5ae9053900,6298d879-aed4-4190-a771-7f44d263841e,4,1228.16
